Regen_Plot,Owner,InNotesTrt,Why deleted,Other?,FACTS,Revisit_Delete1st
MOO1201727,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201728,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201729,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201730,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201731,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201732,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201749,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201750,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201751,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201752,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201761,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
MOO1201793,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201816,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201818,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201823,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
MOO1201839,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201841,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201845,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
MOO1201854,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201862,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201863,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201864,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201865,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
MOO1201880,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201881,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201939,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201941,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201942,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201960,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1202072,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1202092,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1202133,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000006,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000009,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000014,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000023,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000024,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000028,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
PNP1000036,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000037,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1000041,USFS, , ,,Salvaged or planted between fire year and measure*,
PNP1110147,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
PNT1000002,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000003,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000004,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000005,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000006,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000008,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000009,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000012,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000013,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000015,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000016,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000019,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000020,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000022,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000023,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000024,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000028,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000029,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000030,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000033,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000034,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000037,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000038,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000039,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000040,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000042,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000043,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000044,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000048,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000050,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000051,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000054,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000055,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000058,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000062,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000063,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000064,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000066,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000067,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000068,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000071,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000072,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000074,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000075,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000076,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000077,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000078,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000079,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000084,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000085,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000086,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000087,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000088,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000089,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PNT1000090,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000091,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000092,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000095,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000096,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000097,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000098,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000104,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000105,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000106,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000112,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000113,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000114,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000120,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000122,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000124,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000125,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000126,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000127,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000128,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000130,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000131,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1000132,USFS, , ,,Salvaged or planted between fire year and measure*,
PNT1100063,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900026,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900037,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
PWR0900040,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900041,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900042,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900049,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900053,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900054,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900055,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900059,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900064,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900072,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900080,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900087,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900091,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900092,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900115,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900135,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900142,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
PWR0900164,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900187,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
PWR0900189,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900190,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900194,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900198,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
PWR0900206,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900207,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900209,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900214,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900215,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900219,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900220,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900223,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900224,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900225,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900233,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900236,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900244,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900247,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900248,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900255,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900256,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900259,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900261,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900272,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
PWR0900274,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900277,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900281,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900282,USFS, , ,,Salvaged or planted between fire year and measure*,
PWR0900283,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1100049,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1100057,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1100127,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RAL1100549,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1100626,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1100992,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1100993,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101033,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101036,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101037,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RAL1101079,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101080,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101124,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101125,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101135,USFS, , ,,Salvaged or planted between fire year and measure*,
RAL1101168,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RAL1101169,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RAL1101209,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RAL1101244,USFS, , ,,Salvaged or planted between fire year and measure*,
RCH1100110,USFS, , ,,Salvaged or planted between fire year and measure*,
RCH1100210,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
RCH1100234,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RCH1100235,USFS, , ,,Salvaged or planted between fire year and measure*,
RCH1100463,USFS, , ,,Salvaged or planted between fire year and measure*,
RCH1200133,USFS, , ,,Salvaged or planted between fire year and measure*,
RCH1200159,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RCH1200187,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
RCH1200259,USFS, , ,,Salvaged or planted between fire year and measure*,
RUS1100029,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
RUS1100030,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
RUS1100031,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
RUS1100033,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
RUS1100051,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
RUS1100132,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900001,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900003,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900004,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900006,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900008,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900009,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SHR0900011,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
SIM1000007,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000008,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000012,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000013,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000021,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000022,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000023,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000030,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000031,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000032,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000037,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000042,USFS, ,Regen data not by age,Regen data not by age,Salvaged or planted between fire year and measure*,
SIM1000043,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000044,USFS, ,Regen data not by age,Regen data not by age,Salvaged or planted between fire year and measure*,
SIM1000045,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000048,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000053,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000068,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000071,USFS, , ,,Salvaged or planted between fire year and measure*,
SLD1200043,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
SPA1000105,USFS, , ,,Salvaged or planted between fire year and measure*,
SPA1000137,USFS, , ,,Salvaged or planted between fire year and measure*,
SPA1000172,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900012,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900017,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900019,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900020,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900024,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900026,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900030,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900031,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900036,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900037,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900039,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900044,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900047,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900053,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900055,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
STY0900058,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900060,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900061,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900063,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900064,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
STY0900071,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900072,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900074,USFS, , ,,Salvaged or planted between fire year and measure*,
STY0900076,USFS, , ,,Salvaged or planted between fire year and measure*,
SIM1000034,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis??"
FRD0900019,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900027,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900028,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900036,Private,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900037,Private,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900067,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900090,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900132,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900133,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900134,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRD0900135,USFS,,,,Not in FACTS,"Initial visit, 2012 re-visit retained in analysis"
FRN1200025,Private,,Private,"more than 1km from fire, Kevin said not representative",Private,
BST1100025,Private,,Private,,Private,
BST1100026,Private,,Private,,Private,
BST1100046,Private,,Private,,Private,
BST1100047,Private,,Private,,Private,
BST1100051,Private,,Private,,Private,
FRD0900052,Private,,Private,,Private,
FRD0900072,Private,,Private,,Private,
FRD0900073,Private,,Private,,Private,
FRD0900074,Private,,Private,,Private,
FRD0900095,Private,,Private,,Private,
FRD0900096,Private,,Private,,Private,
FRD1100197,Private,,Private,,Private,
FRD1100216,Private,,Private,,Private,
FRD1200117,Private,,Private,,Private,
FRN1200007,Private,,Private,,Private,
FRN1200008,Private,,Private,,Private,
FRN1200051,Private,,Private,,Private,
FRN1200097,Private,,Private,,Private,
MOO1201626,Private,,Private,,Private,
MOO1201800,Private,,Private,,Private,
PNP1110210,Private,,Private,,Private,
PNT1100108,Private,,Private,,Private,
PWR1300291,Private,,Private,,Private,
PWR1300292,Private,,Private,,Private,
PWR1300308,Private,,Private,,Private,
PWR1300309,Private,,Private,,Private,
RAL1100047,Private,,Private,,Private,
SIM1300034,Private,,Private,,Private,
SIM1300081,Private,,Private,,Private,
BAR1300007,Private,,Private,,Private,
PNP1110022,Private,,Private,,Private,
PNP1110033,Private,,Private,,Private,
PNP1110069,Private,,Private,,Private,
PNP1110107,Private,,Private,,Private,
PNP1110144,Private,,Private,,Private,
PNP1110278,Private,,Private,,Private,
PNP1110348,Private,,Private,,Private,
PNT1100023,Private,,Private,,Private,
PNT1100139,Private,,Private,,Private,
PNT1100205,Private,,Private,,Private,
ZAC1200021,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
ZAC1200099,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300014,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300022,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300030,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300032,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300034,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300052,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300054,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300056,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300069,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300388,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
ELK2012510,USFS,,,,Salvaged or planted between fire year and measure*,
FRD1200102,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
AMR1300096,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
RCH1200219,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
ZAC1200117,USFS,,More than 1km from fire boundary,More than 1km from fire boundary,"Not near fire, did not check FACTS",
